F1_X_cm,F1_Y_cm
4.49812978277698,11.339765217974
4.32076475727729,11.4306082079706
4.14712572621588,11.5202049536447
3.98679967942879,11.6049402611364
3.84864506724008,11.6806054490976
3.73014351823111,11.7461419680737
3.61898815453732,11.8044900337075
3.50904501741502,11.8603013329845
3.40945952772951,11.9171856967315
3.32774561033474,11.9750836117259
3.24070876877212,12.0283326368602
3.09270714256675,12.0680479527468
2.83706914925724,12.0896207126494
2.48177568482999,12.0978109122192
2.08722111679179,12.1023426628623
1.71776325652621,12.108855016614
1.40019172821077,12.1159478319314
1.12487018144954,12.1202605420009
0.871720605049717,12.1220647538472
0.627142854282326,12.1251566641315
0.386484411219257,12.1317225200334
0.156333740507179,12.1380658693439
-0.0448284643629151,12.1379391760397
-0.205812084298426,12.1333445800218
-0.357010006105089,12.140833472429
-0.575048780129066,12.1809525186456
-0.927581496558073,12.2586289971443
-1.40528765282291,12.3586772014729
-1.92290138258587,12.4636432499479
-2.39302802424078,12.5702345841161
-2.78662425722077,12.6826905230944
-3.12229088310907,12.7960145131561
-3.42359768761915,12.8986931496661
-3.7059539610364,12.9971542709232
-3.99113696022027,13.1282297715592
-4.30925510401136,13.3341104358431
-4.67781284402421,13.6227438814997
-5.08335772166598,13.9590543426745
-5.48705338265437,14.2946160419908
-5.8497396436089,14.5999951431381
-6.15501799045412,14.8716030304958
-6.412585670908,15.1193096247529
-6.64292053211945,15.3531683336656
-6.85983524130205,15.5773172454982
-7.06528908452213,15.7905945555385
-7.25618817991032,15.9910907811197
-7.43178611057155,16.1795265907533
-7.5934787900345,16.3572599836991
-7.74104582391305,16.522420865629
-7.87384353511938,16.6717709502597
-7.99612715658459,16.8076744360953
-8.11723213827431,16.9401868223816
-8.24140664948333,17.0765580917533
-8.35470947362863,17.2037691758101
-8.43205927482262,17.2898312501099
-8.48264084219765,17.3286602672237
-8.5915250814222,17.3908594082777
-8.86836451051258,17.5871312038125
-9.31849251118206,17.9453949425368
-9.80405549475064,18.3573621050316
-10.1755893359151,18.6866665306272
-10.4107248325955,18.9025187212499
-10.5910733559869,19.0731975327634
-10.7823711128366,19.2577956371215
-10.9813916995773,19.4473106479123
-11.1597209546255,19.6064240567297
-11.314476497474,19.7414943846897
-11.4676200640394,19.9124971746613
-11.6391206334203,20.1822089357183
-11.8353266138689,20.5594376387985
-12.052738587224,20.9897113235563
-12.2784652781962,21.3950509405282
-12.4904499000521,21.7266377995278
-12.6705136404827,21.994920151428
-12.8214256804369,22.2547465430196
-12.9667790608889,22.5447271854835
-13.1304422921096,22.8252409316222
-13.3133223193392,22.9851635893809
-13.4883010502814,22.9308861834477
-13.620869202615,22.6743355131991
-13.6983536516699,22.3250304089905
-13.737952024241,21.9968626098812
-13.7665775098727,21.7327009088132
-13.7978108107635,21.5117080989981
-13.8295826246083,21.3015210840276
-13.8575265069001,21.0904230290067
-13.8834599496629,20.8876101220984
-13.9106232643313,20.7107132062748
-13.9360875992679,20.5657450362955
-13.9525614419286,20.428123432782
-13.9574759102464,20.2531388598802
-13.9569944749874,20.017527986762
-13.959395617125,19.7440239497154
-13.9661288242806,19.4766868610616
-13.9715478397773,19.2404630844125
-13.9712220211765,19.0322026480248
-13.9679807387556,18.8409707388468
-13.9671194793002,18.6631147523303
-13.9655285358514,18.4958516894028
-13.9491379054405,18.3246665674599
-13.9051503547157,18.126380587246
-13.8360223049542,17.8883756134757
-13.7571264464394,17.6224418220183
-13.680953383931,17.3571760423322
-13.6094711472872,17.1178770084279
-13.5429506303851,16.9135387283308
-13.4865890752859,16.7373795281267
-13.4380356835593,16.5735757247359
-13.3707473655924,16.4030497102547
-13.244056773273,16.2082716884218
-13.0402899720252,15.9809951054133
-12.7874255668427,15.7307659688262
-12.5357125475061,15.4826379869008
-12.3136348269809,15.2598753130869
-12.1144939617366,15.0672525598713
-11.9235149087721,14.8928264752658
-11.7443937145096,14.7256484845608
-11.5878252038425,14.5697929870442
-11.4363640733184,14.4394707080217
-11.2372370302198,14.3407257051512
-10.9447920071232,14.2612016755436
-10.567528185733,14.1810898796109
-10.163333579304,14.0928110696098
-9.79031379190234,14.0062182062145
-9.46868940304673,13.9348401627051
-9.1838148050174,13.8813547488607
-8.91292751310376,13.837923702762
-8.64624582685009,13.7967262866255
-8.38909946471415,13.7564324371554
